"id","geom","LENGTH","NOM"
51,"01050000204F66000001000000010200000004000000B9DA2D8AEEE029C18DE45286E8504E410CD605FE11E029C16F508A406E504E4153FD7501CFDF29C1419030544C504E4122452799CDDE29C14C623279C14F4E41","539.78","AVENUE MERS SULTAN"
52,"01050000204F66000001000000010200000002000000213E89DBCEE129C18E7B28B63D504E411924988000E029C16B6A80345D504E41","199.675","RUE RIAD"
53,"01050000204F66000001000000010200000007000000C73F3ACBB4DF29C15DCD188946504E41CD09ABAFCBDD29C154B115E251504E418790E2A452DD29C1CF463B9553504E4183A3833B9CDC29C1B73B4C2F5B504E41B9E6E30FCADA29C18FA1EC726E504E41651417DB05DA29C16F7DB6E477504E41B56CC50232D829C159FF782899504E41","815.181","BOULEVARD D'ALSACE"
54,"01050000204F6600000100000001020000000500000053D34473A3DA29C147F25F68F74F4E415C8BA6E124DB29C1BCAC782B39504E41C755CBDAA4DB29C19179F99C89504E41D228074417DC29C1B678269ACE504E41713A151458DC29C198A1D394F8504E41","464.229","BOULEVARD DU 11 JANVIER"
55,"01050000204F6600000100000001020000000500000056FB463E47DC29C1CD6A2042F7504E41E3E65F4EFCDA29C1D0E3CF1D89504E41E6AF7BCBBFD929C145E52E7E20504E41C64565DAF8D829C1AD114683E04F4E41283DC09868D829C1C59AC029AD4F4E41","686.05","BOULEVARD LAHCEN OUIDER"
56,"01050000204F6600000100000001020000000E0000003FA75CB201D529C12B9256A11F4F4E41A212C4C1D9D529C119D8D18C434F4E415C352E61CCD629C1ABB9546B694F4E41E6AD9C5CA8D729C11A2E81DE8A4F4E4116E4B57864D829C1C9B07B24A54F4E41E57F71E9A5D929C111B15EBED44F4E410F995BFA7CDB29C106270CA213504E4177063F3516DD29C1ACE7208F4C504E41BB0B367C01DE29C1D4CCC7DE6C504E410867FED1B3DE29C18D5D268D87504E4120428B036DDF29C1C2136DD3A8504E41604687C3A9DF29C12DC280A7B2504E41B06C45CB31E029C1C35E5EF4CE504E41A82D0F11B0E029C1861D8540EA504E41","1463.23","BOULEVARD HAJ OMAR RIFFI"
57,"01050000204F6600000100000001020000000200000020E8442E2DDE29C15E240AAB7B504E41ED8E8774D5DB29C1692E39C9A0504E41","257.446","RUE ICHBILIA"
58,"01050000204F6600000100000001020000000400000063DBD308EBDC29C18881F7F133504E416B9180CF32DF29C138D30D1828504E414600B509B8E029C11554556C20504E41FBCE03B0B5E229C178B1508019504E41","619.591","RUE ZERHOUNE"
59,"01050000204F6600000100000001020000000800000087AD4EF97FE129C104F8FE509E4F4E41E351C882E6E129C19B97BA18BA4F4E417A27B29A30E229C1D97AD9A0CD4F4E419EE93B4E7BE229C1A2B7DE37E94F4E41333CF5A4A3E229C18B798516F94F4E418C444283E8E229C1770ED01232504E41B4BE082A62E329C166BCD3E489504E41E288C41CD7E329C1EA6BA7C3D3504E41","579.304","RUE D'AGADIR"
60,"01050000204F66000001000000010200000002000000B0F52ABAC0E329C1ACC90A41E3504E4166DEEEF818E129C1745A5557F0504E41","284.152","RUE ALLAL FASSI"
61,"01050000204F66000001000000010200000008000000274926C10EE129C17D0729CDEA504E41B100F9A10EE229C16B078DACB5504E416D2D1CD204E329C190618B4B81504E416F482AFF80E329C1E27DB1F663504E410E5DD6B8F1E329C1D4B53A7E42504E4166901A034DE429C16E9EA9E92A504E41F0B0AD79BCE429C18024F7800A504E41EAE30F3E98E529C187838FEBCE4F4E41","677.092","RUE MUSTAPHA EL MAANI"
